"Prebivalstvo po državi državljanstva, petletnih starostnih skupinah in spolu, Slovenija, letno"

"SPOL";"DRŽAVA DRŽAVLJANSTVA";"2011 Starost - SKUPAJ";"2011 0-4 let";"2011 5-9 let";"2011 10-14 let";"2011 15-19 let";"2011 20-24 let";"2011 25-29 let";"2011 30-34 let";"2011 35-39 let";"2011 40-44 let";"2011 45-49 let";"2011 50-54 let";"2011 55-59 let";"2011 60-64 let";"2011 65-69 let";"2011 70-74 let";"2011 75-79 let";"2011 80-84 let";"2011 85-89 let";"2011 90 + let";"2012 Starost - SKUPAJ";"2012 0-4 let";"2012 5-9 let";"2012 10-14 let";"2012 15-19 let";"2012 20-24 let";"2012 25-29 let";"2012 30-34 let";"2012 35-39 let";"2012 40-44 let";"2012 45-49 let";"2012 50-54 let";"2012 55-59 let";"2012 60-64 let";"2012 65-69 let";"2012 70-74 let";"2012 75-79 let";"2012 80-84 let";"2012 85-89 let";"2012 90 + let";"2013 Starost - SKUPAJ";"2013 0-4 let";"2013 5-9 let";"2013 10-14 let";"2013 15-19 let";"2013 20-24 let";"2013 25-29 let";"2013 30-34 let";"2013 35-39 let";"2013 40-44 let";"2013 45-49 let";"2013 50-54 let";"2013 55-59 let";"2013 60-64 let";"2013 65-69 let";"2013 70-74 let";"2013 75-79 let";"2013 80-84 let";"2013 85-89 let";"2013 90 + let";"2014 Starost - SKUPAJ";"2014 0-4 let";"2014 5-9 let";"2014 10-14 let";"2014 15-19 let";"2014 20-24 let";"2014 25-29 let";"2014 30-34 let";"2014 35-39 let";"2014 40-44 let";"2014 45-49 let";"2014 50-54 let";"2014 55-59 let";"2014 60-64 let";"2014 65-69 let";"2014 70-74 let";"2014 75-79 let";"2014 80-84 let";"2014 85-89 let";"2014 90 + let";"2015 Starost - SKUPAJ";"2015 0-4 let";"2015 5-9 let";"2015 10-14 let";"2015 15-19 let";"2015 20-24 let";"2015 25-29 let";"2015 30-34 let";"2015 35-39 let";"2015 40-44 let";"2015 45-49 let";"2015 50-54 let";"2015 55-59 let";"2015 60-64 let";"2015 65-69 let";"2015 70-74 let";"2015 75-79 let";"2015 80-84 let";"2015 85-89 let";"2015 90 + let";"2016 Starost - SKUPAJ";"2016 0-4 let";"2016 5-9 let";"2016 10-14 let";"2016 15-19 let";"2016 20-24 let";"2016 25-29 let";"2016 30-34 let";"2016 35-39 let";"2016 40-44 let";"2016 45-49 let";"2016 50-54 let";"2016 55-59 let";"2016 60-64 let";"2016 65-69 let";"2016 70-74 let";"2016 75-79 let";"2016 80-84 let";"2016 85-89 let";"2016 90 + let";"2017 Starost - SKUPAJ";"2017 0-4 let";"2017 5-9 let";"2017 10-14 let";"2017 15-19 let";"2017 20-24 let";"2017 25-29 let";"2017 30-34 let";"2017 35-39 let";"2017 40-44 let";"2017 45-49 let";"2017 50-54 let";"2017 55-59 let";"2017 60-64 let";"2017 65-69 let";"2017 70-74 let";"2017 75-79 let";"2017 80-84 let";"2017 85-89 let";"2017 90 + let";"2018 Starost - SKUPAJ";"2018 0-4 let";"2018 5-9 let";"2018 10-14 let";"2018 15-19 let";"2018 20-24 let";"2018 25-29 let";"2018 30-34 let";"2018 35-39 let";"2018 40-44 let";"2018 45-49 let";"2018 50-54 let";"2018 55-59 let";"2018 60-64 let";"2018 65-69 let";"2018 70-74 let";"2018 75-79 let";"2018 80-84 let";"2018 85-89 let";"2018 90 + let";"2019 Starost - SKUPAJ";"2019 0-4 let";"2019 5-9 let";"2019 10-14 let";"2019 15-19 let";"2019 20-24 let";"2019 25-29 let";"2019 30-34 let";"2019 35-39 let";"2019 40-44 let";"2019 45-49 let";"2019 50-54 let";"2019 55-59 let";"2019 60-64 let";"2019 65-69 let";"2019 70-74 let";"2019 75-79 let";"2019 80-84 let";"2019 85-89 let";"2019 90 + let"
"Spol - SKUPAJ";"Država državljanstva - SKUPAJ";2050189;106582;90882;93389;102526;127304;145535;158120;150888;150670;157049;153589;151186;123525;93991;87474;72422;50959;34098;...;2055496;109410;92470;92269;100129;123223;141362;157452;153244;147774;157536;152564;153587;129476;94670;87976;73289;52696;36369;...;2058821;111342;94955;91798;98467;117470;138904;156139;154196;146720;156806;152366;153090;134423;96235;89870;73185;54120;38735;...;2061085;110244;99662;91147;96814;111679;136799;153233;155472;146842;155486;152891;151461;139249;98733;91404;73761;55033;29709;11466;2062874;109314;103359;91637;94991;107718;132790;149276;156973;147666;153313;153352;150555;142544;104637;90267;74959;56141;30915;12467;2064188;107321;107505;91564;94654;104500;128172;145305;157505;150102;149386;154542;149432;144098;115919;85622;76018;56372;32561;13610;2065895;105456;110092;93046;93598;102222;123848;140803;156809;152605;146679;155160;148636;146515;121360;86507;76767;57504;33643;14645;2066880;103511;111564;95602;93057;101073;117900;137904;155455;153903;145715;154888;148581;146465;126209;88217;78583;57858;34773;15622;2080908;102306;110717;100683;92855;101940;114680;137712;154185;156582;147104;154102;149547;145441;131040;90902;80079;58757;35549;16727
"Spol - SKUPAJ";"EVROPA";2047701;106466;90776;93321;102459;127071;145115;157643;150532;150429;156891;153519;151143;123470;93962;87451;72410;50953;34090;...;2052843;109282;92355;92189;100061;123010;140935;156929;152868;147505;157348;152489;153541;129418;94638;87951;73275;52689;36360;...;2055969;111202;94832;91716;98378;117238;138476;155598;153765;146446;156599;152263;153039;134372;96199;89837;73167;54115;38727;...;2057991;110099;99518;91051;96713;111478;136366;152654;154975;146502;155272;152772;151399;139195;98688;91369;73746;55026;29703;11465;2059603;109171;103204;91514;94882;107528;132369;148686;156419;147298;153081;153210;150488;142493;104577;90236;74939;56135;30910;12463;2060612;107164;107342;91427;94542;104306;127695;144656;156927;149685;149135;154372;149347;144049;115851;85588;75997;56366;32559;13604;2061992;105300;109900;92887;93472;102003;123397;140142;156157;152139;146387;154942;148541;146453;121287;86465;76744;57495;33641;14640;2062588;103332;111341;95397;92898;100823;117423;137231;154773;153379;145385;154651;148462;146396;126144;88166;78552;57846;34771;15618;2076038;102127;110471;100435;92689;101652;114140;136980;153388;155975;146708;153851;149390;145352;130972;90849;80045;58745;35545;16724
"Spol - SKUPAJ";"Slovenija";1967443;103985;88724;91394;100343;120698;134871;147226;140888;141396;148516;146696;146368;120847;92653;86487;71860;50626;33865;...;1969941;106297;90034;90088;97763;117405;130730;146247;142869;138270;148695;145343;148234;126650;93254;86913;72689;52342;36118;...;1967436;107632;92117;89321;95768;111865;127838;144083;143244;136644;147662;144467;147418;131290;94619;88742;72531;53734;38461;...;1964477;105855;96458;88343;93823;106443;125676;140583;143854;136385;145705;144535;145335;135743;96955;90229;73063;54633;29489;11370;1961342;104384;99628;88476;91684;102553;122017;136185;144630;136766;143145;144495;144013;138638;102658;89106;74188;55722;30684;12370;1956422;101751;103127;87999;90880;99133;117648;131485;144366;138588;138893;145302;142321;139816;113687;84473;75208;55916;32340;13489;1951457;99490;105150;89121;89396;96268;113567;126551;142876;140221;135603;145328;141053;141724;119003;85268;75894;57009;33413;14522;1945005;97254;106124;91160;88584;94125;107543;123197;140603;140676;134013;144588;140358;141319;123610;86833;77679;57330;34525;15484;1942715;95620;104631;95634;87753;92256;102453;121320;137469;141486;134248;142806;140667;139711;128134;89357;79101;58203;35284;16582
"Spol - SKUPAJ";"Albanija";59;3;0;0;0;10;15;7;7;6;3;4;2;0;1;0;1;0;0;...;53;5;0;0;0;5;10;9;7;4;4;7;2;0;0;0;0;0;0;...;67;12;1;0;1;7;11;13;6;3;5;6;2;0;0;0;0;0;0;...;69;11;4;1;1;7;11;12;5;3;6;4;3;1;0;0;0;0;0;0;73;11;3;1;1;11;10;12;5;4;5;5;4;1;0;0;0;0;0;0;87;12;5;2;0;7;17;17;7;6;5;2;5;2;0;0;0;0;0;0;93;12;7;1;1;10;16;14;10;7;4;4;6;1;0;0;0;0;0;0;96;13;12;2;2;5;16;12;13;6;4;4;6;1;0;0;0;0;0;0;109;14;13;3;1;7;21;15;15;5;3;5;4;3;0;0;0;0;0;0
"Spol - SKUPAJ";"Andora";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Spol - SKUPAJ";"Avstrija";378;3;5;8;4;6;13;15;32;32;37;33;32;37;36;28;19;9;29;...;415;1;3;6;6;5;19;16;29;35;40;38;36;46;43;32;21;12;27;...;435;3;3;6;6;6;21;18;22;41;39;39;42;43;47;38;22;14;25;...;405;4;4;5;4;7;20;11;23;34;40;31;38;35;46;43;20;16;9;15;398;6;3;5;5;7;14;10;27;32;35;29;42;36;40;47;21;16;11;12;391;3;2;4;5;5;9;15;19;36;30;31;35;39;48;46;26;15;9;14;411;3;1;4;6;11;9;15;19;32;36;30;33;40;48;49;34;19;9;13;407;0;2;5;7;13;7;15;18;29;40;29;26;50;42;50;38;16;6;14;446;0;1;6;7;14;13;19;16;29;44;39;29;54;46;43;47;19;10;10
"Spol - SKUPAJ";"Belgija";56;1;3;1;4;0;2;9;7;10;5;2;2;2;2;2;3;0;1;...;59;3;2;1;2;1;2;7;12;8;8;2;2;2;0;2;4;0;1;...;64;4;0;1;2;2;1;10;10;12;9;2;0;3;1;3;3;1;0;...;56;1;0;1;3;0;2;3;11;10;6;6;1;5;2;2;2;1;0;0;62;0;0;1;2;2;3;4;13;9;6;6;4;2;4;2;2;2;0;0;52;0;0;1;0;0;2;3;11;8;6;7;2;3;3;1;3;2;0;0;58;1;1;1;0;1;1;6;5;10;7;9;3;3;3;0;4;3;0;0;76;4;1;2;1;3;3;5;9;9;13;7;4;1;5;2;4;3;0;0;86;3;2;1;3;3;3;5;7;14;9;10;8;3;5;3;3;3;1;0
"Spol - SKUPAJ";"Belorusija";60;0;1;2;2;2;9;17;12;6;5;1;2;1;0;0;0;0;0;...;71;0;2;4;1;1;16;16;15;7;5;1;2;1;0;0;0;0;0;...;88;2;3;2;2;3;16;23;17;8;6;3;1;2;0;0;0;0;0;...;94;6;0;4;3;3;19;17;19;10;5;5;1;2;0;0;0;0;0;0;94;6;1;2;5;2;12;21;16;13;8;5;0;3;0;0;0;0;0;0;109;6;2;3;5;2;13;23;21;13;9;7;2;2;1;0;0;0;0;0;114;7;4;3;4;5;8;28;18;15;7;10;2;2;1;0;0;0;0;0;136;7;7;3;6;5;16;24;24;15;12;8;5;1;2;0;0;1;0;0;144;5;8;4;6;6;13;30;22;20;11;6;9;1;2;0;0;1;0;0
"Spol - SKUPAJ";"Bolgarija";1084;16;21;13;22;49;146;159;186;205;149;75;30;10;3;0;0;0;0;...;1501;28;28;25;28;65;200;250;227;260;218;116;35;13;7;1;0;0;0;...;1789;39;37;37;32;102;245;307;267;286;232;143;44;13;4;1;0;0;0;...;2079;44;41;49;36;126;275;361;309;294;292;167;57;22;4;2;0;0;0;0;2453;44;43;46;35;165;321;415;365;343;349;218;76;25;6;2;0;0;0;0;2615;63;39;51;36;149;310;420;401;351;405;228;114;36;9;3;0;0;0;0;2853;51;45;49;60;162;296;434;437;395;415;293;157;43;10;4;2;0;0;0;3153;61;41;56;59;151;329;433;465;480;466;347;186;60;14;3;2;0;0;0;3409;76;47;53;76;161;331;461;494;503;474;400;230;76;21;4;2;0;0;0
"Spol - SKUPAJ";"Bosna in Hercegovina";38836;1066;768;725;677;3164;5436;5464;4669;4294;4215;3611;2479;1168;499;311;158;91;41;...;39255;1298;891;768;762;2597;5322;5461;4827;4238;4254;3682;2770;1240;493;349;166;91;46;...;41256;1607;1088;833;906;2305;5446;5773;5008;4428;4351;3970;2925;1393;555;347;178;91;52;...;43250;1921;1258;949;1076;2014;5437;6035;5297;4568;4539;4123;3114;1608;613;354;196;93;39;16;44885;2143;1491;1065;1255;1829;5111;6232;5713;4744;4555;4248;3263;1856;681;336;204;98;46;15;47726;2386;1819;1299;1454;2034;4925;6622;6130;5042;4589;4375;3518;2062;770;331;206;106;46;12;50378;2619;2092;1454;1613;2316;4737;6885;6398;5464;4705;4555;3670;2324;814;336;222;112;46;16;54044;2774;2377;1692;1672;3066;4735;7181;6958;5860;4901;4656;3919;2497;953;381;222;130;50;20;62946;3093;2675;2010;1902;4984;5926;8229;8084;6800;5402;5023;4135;2692;1098;431;241;141;57;23
